+-----+---------+-----------+
|state|avg_stars|count_stars|
+-----+---------+-----------+
|   CA|      4.0|       5203|
|   NV|     3.74|       7715|
|   ID|     3.71|       4467|
|   LA|     3.68|       9924|
|   FL|     3.61|      26330|
|   AZ|     3.59|       9912|
|   IN|     3.59|      11247|
|   TN|     3.57|      12056|
|   PA|     3.57|      34039|
|   MO|     3.55|      10913|
|   NJ|     3.46|       8536|
|   AB|     3.45|       5573|
|   IL|     3.37|       2145|
|   DE|     3.35|       2265|
+-----+---------+-----------+

